id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
1380,Antonis,Fotsis,Unknown,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1381,Alvin,Jones,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1382,Jeff,Trepagnier,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1383,Joe,Crispin,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1384,Ernest,Brown,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
1385,Jarron,Collins,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
1386,Jamison,Brewer,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
1387,Malik,Allen,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
1388,Predrag,Drobnjak,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1389,Chris,Andersen,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1390,Kenny,Satterfield,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1391,Brendan,Haywood,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1392,Kirk,Haston,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
1393,Samuel,Dalembert,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1394,Mike,James,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
1395,Maurice,Evans,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1396,Jeryl,Sasser,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1397,Dean,Oliver,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
1398,Norman,Richardson,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
1399,Brian,Scalabrine,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
1400,Ratko,Varda,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
1401,Tremaine,Fowlkes,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
1402,Mengke,Bateer,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1403,Ike,Fontaine,Unknown,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1404,Ansu,Sesay,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1405,Omar,Cook,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1406,John,Salmons,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1407,Efthimios,Rentzias,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
1408,Pat,Burke,C,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1409,Ryan,Humphrey,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
1410,Carlos,Boozer,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1411,Smush,Parker,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
1412,Manu,Ginobili,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
1413,Jannero,Pargo,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1414,Kareem,Rush,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
1415,Frank,Williams,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
1416,Tayshaun,Prince,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
1417,Mehmet,Okur,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
1418,Jared,Jeffries,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1419,Juan,Dixon,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
1420,Nate,Huffman,Unknown,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1421,Chris,Jefferies,Unknown,28,TOR,Toronto,East,Atlantic,Toronto Raptors,Raptors
1422,Chris,Wilcox,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
1423,Marko,Jaric,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
1424,Qyntel,Woods,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
1425,Jay,Williams,G,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
1426,Lonny,Baxter,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
1427,J.R.,Bremer,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
1428,Jiri,Welsch,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
1429,Mike,Dunleavy,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
1430,Nikoloz,Tskitishvili,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1431,Junior,Harrington,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
1432,Igor,Rakocevic,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
1433,Amar'e,Stoudemire,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1434,Casey,Jacobsen,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
1435,Reggie,Evans,F,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
1436,Dan,Gadzuric,C,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1437,Marcus,Haislip,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1438,Flip,Murray,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
1439,Caron,Butler,F,16,MIA,Miami,East,Southeast,Miami Heat,Heat
1440,Rasual,Butler,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
1441,Drew,Gooden,F,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1442,Gordan,Giricek,Unknown,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1443,Mike,Batiste,Unknown,15,MEM,Memphis,West,Southwest,Memphis Grizzlies,Grizzlies
1444,Juaquin,Hawkins,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1445,Yao,Ming,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1446,Bostjan,Nachbar,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
1447,Fred,Jones,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
1448,Dan,Dickau,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
